"id";"usuario_id";"prefijo";"pais";"flag";"descripcion";"llamadas";"segundos";"llamadas_cuenta";"segundos_cuenta";"llamadas_actual";"segundos_actual";"t1";"t2";"t3";"t4";"estado";"accion"
"223";"1";"1";"US";"flag-us";"Estados Unidos";"25";"10000";"15";"300";"0";"0";"0";"0";"0";"0";"A";"N"
"224";"1";"502";"GT";"flag-gt";"Actualizado 28/05/2020";"60";"13020";"60";"13020";"0";"0";"0";"0";"0";"0";"A";"N"
"225";"1";"505";"NI";"flag-ni";"Actualizado 28/05/2020";"9";"2400";"9";"2400";"0";"0";"0";"0";"0";"0";"A";"N"
"226";"1";"506";"CR";"flag-cr";"Creación: 2020-05-28 13:11:30";"1000";"100000";"1000";"100000";"0";"0";"0";"0";"0";"0";"A";"I"
"227";"1";"52";"MX";"flag-mx";"Actualizado 08-07-2017";"75";"15000";"75";"15000";"0";"0";"0";"0";"0";"0";"A";"N"
"228";"1";"58";"VE";"flag-ve";"Creación: 2017-06-01 01:25:11";"40";"5500";"40";"3600";"0";"0";"0";"0";"0";"0";"A";"I"
"229";"1";"82";"KR";"flag-kr";"Creación: 2017-10-29 13:50:20";"4";"3600";"5";"300";"0";"0";"0";"0";"0";"0";"A";"B"
"546";"1";"1203";"US";"flag-us";"Creación: 2017-04-27 14:27:17";"25";"10000";"15";"1000";"0";"0";"0";"0";"0";"0";"A";"N"
"545";"1";"1419";"US";"flag-us";"Creación: 2017-04-27 14:11:43";"25";"10000";"15";"300";"0";"0";"0";"0";"0";"0";"A";"I"
"231";"1";"507";"PA";"flag-pa";"Creación: 2017-05-31 23:10:18";"300";"8000";"300";"8000";"0";"0";"0";"0";"0";"0";"A";"I"
"232";"1";"54";"AR";;;"40";"7000";"30";"60";"0";"0";"0";"0";"0";"0";"A";"N"
"506";"1";"1809";"DO";"flag-do";"Creación: 2017-04-26 16:58:03";"500";"20000";"500";"20000";"0";"0";"0";"0";"0";"0";"A";"N"
"234";"1";"34";"ES";"flag-es";"Creación: 2017-05-31 23:05:07";"300";"3600";"300";"3600";"0";"0";"0";"0";"0";"0";"A";"I"
